"Kevin Durant_GS","Russell Westbrook_OKC","Giannis Antetokounmpo_MIL","DeMarcus Cousins_NO","Anthony Davis_NO","Victor Oladipo_IND","Karl-Anthony Towns_MIN","Stephen Curry_GS","Jimmy Butler_MIN","Kyrie Irving_BOS","John Wall_WAS","Nikola Vucevic_ORL","Damian Lillard_POR","Marc Gasol_MEM","Devin Booker_PHO","Tyreke Evans_MEM","Bradley Beal_WAS","CJ McCollum_POR","LaMarcus Aldridge_SA","Khris Middleton_MIL","Nikola Jokic_DEN","Aaron Gordon_ORL","Blake Griffin_LAC","Jrue Holiday_NO","DeAndre Jordan_LAC","Dwight Howard_CHA","Al Horford_BOS","Draymond Green_GS","Paul George_OKC","Klay Thompson_GS","Lou Williams_LAC","Hassan Whiteside_MIA","Dennis Schroder_ATL","Kris Dunn_CHI","Lonzo Ball_LAL","Donovan Mitchell_UTA","D'Angelo Russell_BKN","Kemba Walker_CHA","Brandon Ingram_LAL","Jusuf Nurkic_POR","Kyle Kuzma_LAL","Kent Bazemore_ATL","Rudy Gobert_UTA","TJ Warren_PHO","Paul Millsap_DEN","Harrison Barnes_DAL","Nikola Mirotic_CHI","Myles Turner_IND","Jonathon Simmons_ORL","Steven Adams_OKC","Rodney Hood_UTA","Spencer Dinwiddie_BKN","Mike Conley_MEM","Eric Bledsoe_MIL","Josh Richardson_MIA","Taurean Prince_ATL","Gary Harris_DEN","Rondae Hollis-Jefferson_BKN","Jeff Teague_MIN","James Johnson_MIA","Thaddeus Young_IND","Zach Randolph_SAC","Kawhi Leonard_SA","Andrew Wiggins_MIN","Goran Dragic_MIA","Carmelo Anthony_OKC","Taj Gibson_MIN","Pau Gasol_SA","Otto Porter_WAS","Elfrid Payton_ORL","Dion Waiters_MIA","Kelly Olynyk_MIA","Jamal Murray_DEN","Evan Fournier_ORL","Will Barton_DEN","Jayson Tatum_BOS","Ricky Rubio_UTA","Derrick Favors_UTA","Kentavious Caldwell-Pope_LAL","Danilo Gallinari_LAC","Rajon Rondo_NO","Alex Len_PHO","Marcin Gortat_WAS","John Collins_ATL","Jaylen Brown_BOS","Darren Collison_IND","Domantas Sabonis_IND","Austin Rivers_LAC","Tyler Johnson_MIA","Dewayne Dedmon_ATL","Justin Holiday_CHI","Marcus Smart_BOS","Julius Randle_LAL","Nicolas Batum_CHA","Caris LeVert_BKN","Larry Nance_LAL","Al-Farouq Aminu_POR","Willie Cauley-Stein_SAC","Rudy Gay_SA","Jeremy Lamb_CHA","Dennis Smith_DAL","Lauri Markkanen_CHI","Shabazz Napier_POR","Joe Ingles_UTA","Danny Green_SA","Jabari Parker_MIL","Jordan Clarkson_LAL","Denzel Valentine_CHI","DeMarre Carroll_BKN","Isaiah Canaan_PHO","Mike Scott_WAS","JJ Barea_DAL","Zach LaVine_CHI","Greg Monroe_PHO","Kyle Anderson_SA","Milos Teodosic_LAC","JaMychal Green_MEM","Yogi Ferrell_DAL","Bobby Portis_CHI","Marcus Morris_BOS","Alec Burks_UTA","Kelly Oubre_WAS","E'Twaun Moore_NO","Omri Casspi_GS","Mason Plumlee_DEN","Wesley Matthews_DAL","Dirk Nowitzki_DAL","Ersan Ilyasova_ATL","Buddy Hield_SAC","Mario Hezonja_ORL","Malcolm Brogdon_MIL","Wilson Chandler_DEN","Trey Lyles_DEN","Robin Lopez_CHI","Lance Stephenson_IND","Brook Lopez_LAL","Tyson Chandler_PHO","George Hill_SAC","Bojan Bogdanovic_IND","De'Aaron Fox_SAC","Tony Parker_SA","Dejounte Murray_SA","Markieff Morris_WAS","John Henson_MIL","Jordan Bell_GS","Allen Crabbe_BKN","Patty Mills_SA","Michael Kidd-Gilchrist_CHA","Andre Iguodala_GS","Terry Rozier_BOS","Evan Turner_POR","Bogdan Bogdanovic_SAC","Wesley Johnson_LAC","Bam Adebayo_MIA","Seth Curry_DAL","David Nwaba_CHI","Josh Jackson_PHO","Manu Ginobili_SA","Frank Mason III_SAC","Marvin Williams_CHA","Maxi Kleber_DAL","Cory Joseph_IND","Jamal Crawford_MIN","Mario Chalmers_MEM","Chandler Parsons_MEM","Andrew Harrison_MEM","Frank Kaminsky_CHA","Justise Winslow_MIA","Wayne Ellington_MIA","Jordan Mickey_MIA","Malcolm Delaney_ATL","Isaiah Taylor_ATL","Jonas Jerebko_UTA","Ekpe Udoh_UTA","Joe Johnson_UTA","Joe Harris_BKN","Josh Hart_LAL","Troy Daniels_PHO","DJ Augustin_ORL","Dillon Brooks_MEM","Cody Zeller_CHA","Emmanuel Mudiay_DEN","Torrey Craig_DEN","Marco Belinelli_ATL","Jerian Grant_CHI","Aron Baynes_BOS","Jerami Grant_OKC","Glenn Robinson III_IND","Ed Davis_POR","Tyler Ulis_PHO","Jamil Wilson_LAC","Patrick McCaw_GS","Devin Harris_DAL","Thabo Sefolosha_UTA","Mike James_PHO","Marquese Chriss_PHO","Kosta Koufos_SAC","Garrett Temple_SAC","Sam Dekker_LAC","Kenneth Faried_DEN","Shaun Livingston_GS","DeAndre' Bembry_ATL","Miles Plumlee_ATL","Jahlil Okafor_BKN","Corey Brewer_LAL","Bryn Forbes_SA","Terrence Ross_ORL","Tomas Satoransky_WAS","Tim Frazier_WAS","Montrezl Harrell_LAC","Jarell Martin_MEM","Tony Snell_MIL","David West_GS","Tyler Cavanaugh_ATL","Daniel Theis_BOS","Andre Roberson_OKC","Raul Neto_UTA","Tyler Zeller_BKN","Jarrett Allen_BKN","Nik Stauskas_BKN","Maurice Harkless_POR","Zach Collins_POR","Gorgui Dieng_MIN","Dragan Bender_PHO","Tyus Jones_MIN","Davis Bertans_SA","Brandon Paul_SA","Shelvin Mack_ORL","Ian Mahinmi_WAS","Arron Afflalo_ORL","Jawun Evans_LAC","CJ Williams_LAC","Thon Maker_MIL","Jameer Nelson_NO","Kevon Looney_GS","Paul Zipser_CHI","Shane Larkin_BOS","Alex Abrines_OKC","Quincy Acy_BKN","Pat Connaughton_POR","Nemanja Bjelica_MIN","Shabazz Muhammad_MIN","Skal Labissiere_SAC","Jakarr Sampson_SAC","Jonathan Isaac_ORL","Michael Carter-Williams_CHA","DeAndre Liggins_MIL","Dante Cunningham_NO","Darius Miller_NO","Zaza Pachulia_GS","Nick Young_GS","Juancho Hernangomez_DEN","Semi Ojeleye_BOS","Patrick Patterson_OKC","Al Jefferson_IND","Isaiah Whitehead_BKN","Meyers Leonard_POR","Caleb Swanigan_POR","Ivica Zubac_LAL","Jared Dudley_PHO","Wes Iwundu_ORL","James Ennis III_MEM","Ben McLemore_MEM","Mirza Teletovic_MIL","Matthew Dellavedova_MIL","JaVale McGee_GS","Malik Beasley_DEN","Dwight Powell_DAL","Luke Babbitt_ATL","Antonio Blakeney_CHI","Raymond Felton_OKC","Noah Vonleh_POR","Vince Carter_SAC","Bismack Biyombo_ORL","Jodie Meeks_WAS","Tony Allen_NO","Quinn Cook_GS","Mike Muscala_ATL","Nerlens Noel_DAL","Salah Mejri_DAL","Johnathan Motley_DAL","Kyle Collinsworth_DAL","Josh Magette_ATL","Dorian Finney-Smith_DAL","Tyler Dorsey_ATL","Josh McRoberts_DAL","Cristiano Felicio_CHI","Quincy Pondexter_CHI","Guerschon Yabusele_BOS","Abdel Nader_BOS","Jabari Bird_BOS","Kadeem Allen_BOS","Ryan Arcidiacono_CHI","Gordon Hayward_BOS","Cameron Payne_CHI","Royce O'Neale_UTA","Josh Huestis_OKC","Dakari Johnson_OKC","Kyle Singler_OKC","Nick Collison_OKC","Tony Bradley_UTA","Terrance Ferguson_OKC","Nate Wolters_UTA","PJ Dozier_OKC","Dante Exum_UTA","Daniel Hamilton_OKC","Erik McCree_UTA","Jeremy Lin_BKN","Timofey Mozgov_BKN","TJ Leaf_IND","Jacob Wiley_BKN","Joe Young_IND","Damien Wilkins_IND","Ike Anigbogu_IND","Alex Poythress_IND","Milton Doyle_BKN","Yakuba Ouattara_BKN","Edmond Sumner_IND","Andrew Bogut_LAL","Luol Deng_LAL","Tyler Ennis_LAL","Alex Caruso_LAL","Jake Layman_POR","Vander Blue_LAL","Thomas Bryant_LAL","CJ Wilcox_POR","Wade Baldwin IV_POR","Danuel House_PHO","Aaron Brooks_MIN","Alec Peters_PHO","Cole Aldrich_MIN","Marcus Georges-Hunt_MIN","Alan Williams_PHO","Brandon Knight_PHO","Justin Patton_MIN","Davon Reed_PHO","Anthony Brown_MIN","Matt Costello_SA","Joffrey Lauvergne_SA","Justin Jackson_SAC","Georgios Papagiannis_SAC","Malachi Richardson_SAC","Derrick White_SA","Jack Cooley_SAC","Darrun Hilliard_SA","Harry Giles_SAC","Marreese Speights_ORL","Jason Smith_WAS","Chris McCullough_WAS","Adreian Payne_ORL","Jamel Artis_ORL","Khem Birch_ORL","Mike Young_WAS","Sheldon Mac_WAS","Devin Robinson_WAS","Patrick Beverley_LAC","Brandan Wright_MEM","Willie Reed_LAC","Deyonta Davis_MEM","Sindarius Thornwell_LAC","Wayne Selden_MEM","Brice Johnson_LAC","Kobi Simmons_MEM","Vince Hunter_MEM","Ivan Rabb_MEM","Malik Monk_CHA","Treveon Graham_CHA","Johnny O'Bryant III_CHA","Sean Kilpatrick_MIL","Dwayne Bacon_CHA","Rashad Vaughn_MIL","Julyan Stone_CHA","Jason Terry_MIL","Sterling Brown_MIL","Joel Bolomboy_MIL","Marcus Paige_CHA","Mangok Mathiang_CHA","DJ Wilson_MIL","Ian Clark_NO","Okaro White_MIA","Cheick Diallo_NO","Omer Asik_NO","Charles Cooke_NO","Jalen Jones_NO","Udonis Haslem_MIA","Derrick Walton_MIA","Frank Jackson_NO","Alexis Ajinca_NO","Rodney McGruder_MIA","Matt Williams_MIA","Solomon Hill_NO","AJ Hammons_MIA","Darrell Arthur_DEN","Richard Jefferson_DEN","Monte Morris_DEN","Damian Jones_GS","Chris Boucher_GS","Tyler Lydon_DEN"
0,0,0,0,0,0,0,0,0,0,256.371527777778,0,0,0,0,0,53.2439236111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-118.350694444444,0,0,0,0,0,0,0,0,0,0,0,0,0,62.4383680555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.2196180555556,0,0,0,0,0,0,0,0,0,0,-56.6423611111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.8446180555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.4027777777778,-61.6657986111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.2543402777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.7230902777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6657986111111,-18.3263888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,175.639880952381,0,0,0,0,0,0,0,0,0,-48.3511904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3348214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.1949404761905,0,0,0,-5.52083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01934523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.9479166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.22767857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09375,0,8.72172619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0654761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.1443452380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.60119047619048,0,0,-1.91666666666667,-1.39880952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,325.196428571429,0,0,0,0,24.3943452380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.511904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.8660714285714,0,0,0,0,0,-105.361607142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.6934523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81.8616071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52.3258928571429,-82.3973214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.952380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.3258928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.2023809523809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.9434523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,83.8470982142857,0,89.1450892857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.9832589285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9933035714286,-32.4375,-49.7779017857143,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5881696428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.6774553571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.3549107142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34821428571429,0,13.4129464285714,0,0,0,8.65848214285714,0,1.26227678571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,733.225694444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8185763888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-201.850694444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.36631944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186.589409722222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-103.835069444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-170.787326388889,0,0,0,0,0,0,0,0,0,0,0,100.159722222222,0,0,0,0,-1.79861111111111,-24.9401041666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-96.7352430555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0008680555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,89.1450892857143,0,375.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0736607142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31.4419642857143,-148.973214285714,-71.3013392857143,0,0,0,0,0,0,0,0,0,0,0,0,0,59.2522321428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.9308035714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24.7544642857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.76785714285714,0,-22.2723214285714,0,0,0,6.95089285714286,0,-0.435267857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,53.2439236111111,0,0,0,0,0,237.585069444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-60.0980902777778,0,0,0,0,0,0,0,0,0,0,0,0,0,42.0269097222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.0347222222222,0,0,0,0,0,0,0,0,0,0,48.7664930555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25.0503472222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.21267361111111,12.0868055555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94357638888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.5954861111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.3914930555556,-33.6883680555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,24.3943452380952,0,0,0,0,34.1964285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.9985119047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3943452380952,0,0,0,0,0,-26.8511904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3794642857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.38839285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.37797619047619,11.3630952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.4732142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18.3511904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10.0580357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.46428571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.8005952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4047619047619,0,0,0,0,-48.0610119047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.5952380952381,0,0,0,0,0,-47.8095238095238,0,0,0,0,0,0,0,0,0,42.5148809523809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.6011904761905,21.8095238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.6175595238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.7931547619048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.3690476190476,-7.10863095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-17.2022569444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1736111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7.82986111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.12239583333333,0,0,0,0,0,0,0,0,0,0,0,0,-6.96006944444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.3645833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19.7977430555556,0,0,0,0,0,0,0,0,0,0,0,0,0,0.724826388888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42013888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17274305555556,0,-18.4375,4.3203125,1.51215277777778,0,0,-13.4895833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
